Name,Locality,Status,Type,Configuration,MahaRERA,Latitude,Longitude,Page,GoogleMapsLink
Rainflower,Ahilyanagar,Ongoing,Residential,"2, 3 & 4 BHK",To confirm,19.1223267,74.7473039,project.html?p=rainflower,https://maps.app.goo.gl/Do7AdXmPhbxD4dC58
Trident,Savedi,Ongoing,Residential,2 & 3 BHK,P52200077919,19.1230232,74.7218829,project.html?p=trident,https://maps.app.goo.gl/NahfbnUW1PZA1BXv6
Bluebell,Ahilyanagar,Ongoing,Residential,2 & 3 BHK,To confirm,19.1140017,74.7338460,project.html?p=bluebell,https://maps.app.goo.gl/HLQ9zp8AGQF4w3dL9
Sierra,Ahilyanagar,Ongoing,Residential,3 BHK,To confirm,19.1241512,74.7399494,project.html?p=sierra,https://maps.app.goo.gl/tNNgSja7hYT81pwV7
Snowbell,Ahilyanagar,Ongoing,Residential,2 & 3 BHK,To confirm,19.1237911,74.7403149,project.html?p=snowbell,https://maps.app.goo.gl/UePaDjjDDbktssu28
Arabella,Nalegaon,Ongoing,Residential,2 & 3 BHK,P52200048057,19.1029310,74.7290690,project.html?p=arabella,https://maps.app.goo.gl/P6hQ9JBH8VsjWdDM7
Abhiram,Bhistabag,Ongoing,Residential,1 & 2 BHK,P52200049407,,,project.html?p=abhiram,
Bluestone,Savedi,Ongoing,Commercial,Shops & offices,P52200052558,19.1043047,74.7347696,project.html?p=bluestone,https://maps.app.goo.gl/Vk92RgSDbfJLWWAVA
The Courtyard Phase I,Savedi,Completed,Residential,2 & 3 BHK,P52200000247,19.1079819,74.7410736,project.html?p=the-courtyard-i,https://maps.app.goo.gl/XMi1Hh4NEABuTRRQ8
Siya Ram Residency,Nalegaon,Completed,Residential,1 & 2 BHK,P52200018653,19.1153991,74.7234548,project.html?p=siya-ram-residency,https://maps.app.goo.gl/KESHxKidSCuP3NuA8
Utkarsha Phase III,Tarakpur,Completed,Residential,2 BHK,—,19.1100151,74.7256595,project.html?p=utkarsha-iii,https://maps.app.goo.gl/fi5uVmyepxfXKeEc7
Amrutkalash,Borude Mala,Completed,Residential,1 & 2 BHK,—,19.1101138,74.7271701,project.html?p=amrutkalash,https://maps.app.goo.gl/C4RAmdsQoEqe1mkQ7
Anand Enclave,Bhistabag,Completed,Mixed-Use,2 BHK & shops,—,19.1100382,74.7310585,project.html?p=anand-enclave,https://maps.app.goo.gl/KjV2KkrspMQvpKMf6
Magnolia,Savedi,Completed,Residential,3 BHK,P52200028201,19.1242637,74.7404393,project.html?p=magnolia,https://maps.app.goo.gl/XDPBC4nPzJVKkkK49
